issue_id,type,phase,category,is_comment,is_closed,interval_fir_comment(hour),interval_closed(hour),body_len
I1,github issue,Construction,component,0,1,,13.81944444,95
I2,github issue,Construction,dependency,0,1,,11.98694444,90
I3,github issue,Operation,deployment,0,1,,4.400833333,104
I4,github issue,Maintenance,efficiency,0,1,,16.50166667,295
I5,github issue,Construction,trigger event,0,1,,3.123888889,98
I6,github issue,Maintenance,efficiency,0,1,,3.432777778,79
I7,github issue,Maintenance,efficiency,0,1,,51.7775,104
I8,github issue,Operation,deployment,0,1,,22.43166667,191
I9,github issue,Construction,component,0,1,,0.565,106
I10,github issue,Construction,configuration,0,1,,466.7563889,166
I11,github issue,Construction,configuration,1,1,228.3452778,230.6316667,134
I12,github issue,Construction,configuration,0,1,,179.29,174
I13,github issue,Construction,configuration,1,1,167.3038889,205.8330556,213
I14,github issue,Operation,deployment,0,0,,,640
I15,github issue,Operation,deployment,0,1,,1056.592778,687
I16,github issue,Construction,configuration,1,1,502.355,502.3366667,679
I17,github issue,Construction,dependency,1,1,0.011388889,20.48166667,646
I18,github issue,Construction,dependency,1,1,155.0188889,1131.725833,1546
I19,github issue,Maintenance,security,1,1,341.2811111,3797.152778,667
I20,github issue,Construction,dependency,0,0,,,107
I21,github issue,Construction,configuration,1,1,3.864444444,4.740555556,309
I22,github issue,Construction,configuration,1,1,295.8772222,5167.683611,3143
I23,github issue,Construction,configuration,1,1,137.2011111,776.2622222,1445
I24,github issue,Operation,deployment,1,0,0.128888889,,1505
I25,github issue,Operation,deployment,0,0,,,549
I26,github issue,Construction,dependency,0,0,,,241
I27,github issue,Maintenance,efficiency,0,0,,,1142
I28,github issue,Maintenance,monitoring,0,0,,,615
I29,github issue,Construction,configuration,0,1,,144.1869444,277
I30,github issue,Construction,configuration,0,1,,39.49055556,394
I31,github issue,Maintenance,efficiency,0,0,,,1358
I32,github issue,Construction,dependency,0,1,,47.01388889,109
I33,github issue,Operation,deployment,1,0,24.17444444,,1022
I34,github issue,Maintenance,efficiency,0,0,,,303
I35,github issue,Maintenance,efficiency,1,0,2.089722222,,1296
I36,github issue,Maintenance,efficiency,0,0,,,1296
I37,github issue,Construction,configuration,1,0,4.848888889,,1366
I38,github issue,Construction,dependency,0,0,,,626
I39,github issue,Maintenance,efficiency,1,1,1.4,94.99916667,759
I40,github issue,Construction,configuration,1,0,68.48194444,,89
I41,github issue,Operation,deployment,1,1,9.084166667,50.20416667,2988
I42,github issue,Construction,dependency,0,0,,,2015
I43,github issue,Construction,configuration,0,0,,,354
I44,github issue,Construction,configuration,1,0,1.789444444,,44
I45,github issue,Operation,deployment,1,1,0.720555556,0.822777778,189
I46,github issue,Construction,dependency,0,0,,,189
I47,github issue,Operation,deployment,0,0,,,657
I48,github issue,Initialization ,basic usage,1,0,0.09,,193
I49,github issue,Maintenance,monitoring,0,0,,,41
I50,github issue,Maintenance,monitoring,1,0,107.8486111,,41
I51,github issue,Operation,deployment,0,1,,0.184722222,52
I52,github issue,Operation,containerized services,1,0,0.179722222,,1658
I53,github issue,Maintenance,monitoring,0,1,,0.615277778,91
I54,github issue,Maintenance,monitoring,1,0,0.173888889,,91
I55,github issue,Construction,configuration,1,1,354.8875,354.8875,34
I56,github issue,Construction,dependency,1,1,7.467222222,87.97,365
I57,github issue,Maintenance,monitoring,0,0,,,16
I58,github issue,Operation,deployment,0,0,,,99
I59,github issue,Construction,dependency,1,1,22.03833333,22.03833333,398
I60,github issue,Construction,dependency,0,1,,122.0877778,160
I61,github issue,Maintenance,security,0,0,,,446
I62,github issue,Construction,dependency,0,1,,521.5330556,51
I63,github issue,Maintenance,monitoring,0,1,,742.7455556,28
I64,github issue,Maintenance,monitoring,0,0,,,28
I65,github issue,Construction,configuration,0,0,,,28
I66,github issue,Construction,configuration,0,0,,,28
I67,github issue,Construction,configuration,0,0,,,28
I68,github issue,Operation,deployment,1,0,10.75416667,,1621
I69,github issue,Maintenance,efficiency,1,1,145.5255556,152.5933333,317
I70,github issue,Construction,dependency,0,1,,2.647222222,112
I71,github issue,Operation,deployment,0,1,,140.0827778,313
I72,github issue,Operation,deployment,0,1,,0.140555556,268
I73,github issue,Operation,deployment,0,1,,0.255277778,283
I74,github issue,Operation,containerized services,1,1,9.063055556,871.5544444,235
I75,github issue,Maintenance,security,1,0,0.0275,,565
I76,github issue,Maintenance,security,1,1,173.4666667,173.4666667,1020
I77,github issue,Construction,dependency,0,1,,432.4338889,126
I78,github issue,Maintenance,monitoring,1,0,0.288888889,,294
I79,github issue,Operation,deployment,0,0,,,308
I80,github issue,Operation,deployment,1,1,1.971388889,28.63638889,1672
I81,github issue,Construction,configuration,1,0,0.005555556,,971
I82,github issue,Maintenance,resource management,0,1,,263.7366667,352
I83,github issue,Construction,dependency,0,1,,0.090555556,87
I84,github issue,Construction,configuration,0,0,,,543
I85,github issue,Maintenance,efficiency,0,0,,,781
I86,github issue,Operation,deployment,1,1,57.62472222,57.62472222,1936
I87,github issue,Construction,dependency,1,0,2.94,,304
I88,github issue,Operation,deployment,1,1,0.003055556,0.003333333,26
I89,github issue,Initialization ,basic usage,0,1,,401.9952778,111
I90,github issue,Maintenance,monitoring,0,0,,,804
I91,github issue,Maintenance,monitoring,0,0,,,131
I92,github issue,Operation,deployment,0,0,,,156
I93,github issue,Construction,dependency,0,1,,1208.5725,135
I94,github issue,Construction,dependency,0,0,,,135
I95,github issue,Construction,configuration,0,1,,53.05833333,785
I96,github issue,Operation,deployment,0,1,,53.37583333,1728
I97,github issue,Construction,configuration,0,1,,53.37666667,64
I98,github issue,Construction,configuration,0,0,,,64
I99,github issue,Construction,dependency,0,1,,99.98055556,1613
I100,github issue,Construction,dependency,0,0,,,1613
I101,github issue,Construction,dependency,1,0,0.093333333,,1613
I102,github issue,Construction,trigger event,0,1,,146.6888889,1242
