id,is_new,type,is_answer,is_acceptAnswer,interval_fir_ans(hour),interval_acc_ans(hour),body_len
P1,0,so post,1,1,5755.538889,5755.538889,749
P2,0,so post,1,0,8310.789444,,1915
P3,0,so post,1,1,1.349722222,1.349722222,923
P4,0,so post,1,0,14182.83917,,201
P5,0,so post,1,1,959.0830556,9082.497222,462
P6,0,so post,1,1,19.42944444,19.42944444,2024
P7,0,so post,1,0,3.361666667,,2352
P8,0,so post,1,1,2.04,4528.766111,432
P9,0,so post,1,1,0.646666667,4221.258056,474
P10,0,so post,1,0,136.2083333,,508
P11,0,so post,1,1,17.11944444,2787.448611,772
P12,0,so post,1,0,1046.911667,,1616
P13,0,so post,1,1,395.8888889,395.8888889,1043
P14,0,so post,1,0,288.5630556,,751
P15,0,so post,1,1,1459.436111,1459.436111,1402
P16,0,so post,1,1,736.3580556,736.3580556,789
P17,0,so post,0,0,,,1195
P18,0,so post,1,1,651.5294444,651.5294444,1972
P19,0,so post,1,0,845.0052778,,1102
P20,0,so post,1,1,21.55916667,21.55916667,2245
P21,0,so post,1,0,7.424444444,,1905
P22,0,so post,1,1,141.7327778,141.7327778,843
P23,0,so post,1,0,749.2325,,1166
P24,0,so post,1,1,0,0,457
P25,0,so post,1,1,5.080833333,5.080833333,814
P26,0,so post,1,1,18.01388889,18.01388889,2455
P27,0,so post,1,0,1.511944444,,406
P28,0,so post,1,1,106.9702778,106.9702778,3603
P29,0,so post,1,1,10.44777778,20144.84944,768
P30,0,so post,1,1,0.458333333,0.458333333,1958
P31,0,so post,1,1,3.974722222,3.974722222,375
P32,0,so post,1,1,16.73666667,16.73666667,385
P33,0,so post,1,1,28.33361111,28.33361111,210
P34,0,so post,1,0,574.2,,747
P35,0,so post,1,1,20.8725,20.8725,2324
P36,0,so post,1,1,302.1705556,302.1705556,235
P37,0,so post,1,1,348.4213889,348.4213889,348
P38,0,so post,1,0,478.0780556,,2270
P39,0,so post,1,0,8.540833333,,514
P40,0,so post,1,1,209.5305556,209.5305556,1082
P41,0,so post,1,1,0.331666667,0.331666667,1609
P42,0,so post,1,1,4.735833333,4.735833333,504
P43,0,so post,1,1,1752.667222,1752.667222,3238
P44,0,so post,0,0,,,591
P45,0,so post,1,1,0.228611111,0.228611111,1210
P46,0,so post,1,1,36.30055556,1926.670278,906
P47,0,so post,1,1,6.0675,6.0675,640
P48,0,so post,1,1,1.700833333,1.700833333,1076
P49,0,so post,1,1,287.43,287.43,808
P50,0,so post,1,1,15.89555556,15.89555556,699
P51,0,so post,1,1,16.43916667,17.26,1742
P52,0,so post,1,1,1031.398056,1031.398056,844
P53,0,so post,1,1,0.324444444,0.324444444,599
P54,0,so post,1,0,12.75777778,,2840
P55,0,so post,1,1,4.635555556,4.635555556,772
P56,0,so post,1,1,234.9777778,234.9777778,842
P57,0,so post,1,1,3.515555556,3.515555556,800
P58,0,so post,1,0,67.92194444,,1529
P59,0,so post,1,0,185.0222222,,2249
P60,0,so post,1,0,166.0927778,,740
P61,0,so post,1,1,212.2902778,212.2902778,2043
P62,0,so post,1,1,3.239444444,3.239444444,722
P63,0,so post,1,0,8444.565556,,2313
P64,0,so post,1,1,9643.025278,9643.025278,722
P65,0,so post,1,0,138.5813889,,5809
P66,0,so post,1,1,0.996388889,1.792777778,458
P67,0,so post,1,1,17.16555556,769.3716667,2029
P68,0,so post,1,1,0.930833333,0.930833333,548
P69,0,so post,1,1,5.316666667,5.316666667,484
P70,0,so post,1,1,28.64944444,28.64944444,449
P71,0,so post,1,1,0.379444444,0.379444444,315
P72,0,so post,1,1,1.274722222,1.274722222,577
P73,0,so post,1,1,17.78888889,17.78888889,1403
P74,0,so post,1,1,27.62972222,27.62972222,859
P75,0,so post,1,0,10.00138889,,297
P76,0,so post,1,1,24.62027778,9355.3325,3989
P77,0,so post,1,1,1.899444444,1.899444444,1175
P78,0,so post,1,1,15.95888889,15.95888889,380
P79,0,so post,1,1,0.847777778,0.847777778,2716
P80,0,so post,1,0,5408.9575,,1014
P81,0,so post,1,1,2.224722222,3.004722222,258
P82,0,so post,1,0,0.2275,,398
P83,0,so post,1,1,1.754722222,1.754722222,318
P84,0,so post,1,1,74.68222222,74.68222222,831
P85,0,so post,1,0,2.628888889,,980
P86,0,so post,0,0,,,443
P87,0,so post,1,1,9.100833333,131.9325,1533
P88,0,so post,1,1,110.7811111,110.7811111,1429
P89,0,so post,1,0,1.739722222,,1545
P90,0,so post,1,1,0.648611111,0.648611111,721
P91,0,so post,1,1,163.2241667,217.2080556,2096
P92,0,so post,1,1,6.105555556,6.105555556,1020
P93,0,so post,1,0,6.261388889,,836
P94,0,so post,1,1,0.852777778,0.852777778,382
P95,0,so post,1,1,359.2233333,813.8619444,1525
P96,0,so post,1,1,19.92833333,19.92833333,572
P97,0,so post,1,1,4768.558333,4768.558333,1647
P98,0,so post,1,1,1.121388889,1.121388889,426
P99,0,so post,1,1,13.71777778,13.71777778,1022
P100,0,so post,1,1,10.19,10.19,2171
P101,0,so post,1,1,0.286388889,5.787777778,1922
P102,0,so post,1,1,3.219166667,3.219166667,1931
P103,0,so post,1,0,11032.33778,,638
P104,0,so post,1,1,0.177777778,0.177777778,918
P105,0,so post,1,0,87.1725,,645
P106,0,so post,1,0,0.743333333,,232
P107,0,so post,0,0,,,1278
P108,0,so post,1,0,0.084722222,,487
P109,0,so post,1,1,43.95694444,43.95694444,11864
P110,0,so post,0,0,,,562
P111,0,so post,1,1,12.16833333,12.16833333,1035
P112,0,so post,1,0,8.996666667,,224
P113,0,so post,1,1,23.99083333,23.99083333,3012
P114,0,so post,1,0,0.395833333,,1301
P115,0,so post,1,0,998.2438889,,656
P116,0,so post,1,1,4.581388889,4.581388889,322
P117,0,so post,1,1,0,0,832
P118,0,so post,1,1,0.057222222,0.057222222,679
P119,0,so post,1,1,0.600555556,0.600555556,1853
P120,0,so post,1,1,0.210555556,0.210555556,247
P121,0,so post,1,0,0.233611111,,3754
P122,0,so post,1,1,0.193333333,0.193333333,217
P123,0,so post,1,1,2.513888889,2.513888889,1113
P124,0,so post,1,0,0.251666667,,845
P125,0,so post,1,1,9268.697778,9268.697778,1254
P126,0,so post,1,1,8.1475,8.1475,490
P127,0,so post,1,1,18.23694444,18.23694444,800
P128,0,so post,1,1,2.076388889,2.076388889,1507
P129,0,so post,1,1,5.921111111,5.921111111,499
P130,0,so post,1,0,7.118333333,,1419
P131,0,so post,1,1,0.314444444,0.314444444,1087
P132,0,so post,1,0,1.143055556,,1108
P133,0,so post,1,1,0.395833333,12.23638889,1315
P134,0,so post,1,0,0.596111111,,2111
P135,0,so post,1,1,3.6725,3.6725,404
P136,0,so post,1,0,124.6936111,,958
P137,0,so post,1,1,335.4513889,15997.04917,240
P138,0,so post,1,1,0.205277778,0.205277778,388
P139,0,so post,1,1,10.96194444,10.96194444,1674
P140,0,so post,1,1,26.64388889,26.64388889,2035
P141,0,so post,1,0,1.492777778,,248
P142,0,so post,1,1,3.982777778,3.982777778,2157
P143,0,so post,1,0,0.076111111,,754
P144,0,so post,1,1,0.294166667,0.294166667,1196
P145,0,so post,1,0,4.720555556,,176
P146,0,so post,1,1,0.088888889,0.088888889,668
P147,0,so post,1,1,0.119444444,0.119444444,1427
P148,0,so post,1,1,5.760833333,3375.698333,1742
P149,0,so post,1,1,19.18555556,112.1522222,4671
P150,0,so post,1,1,3.940833333,3.940833333,1360
P151,0,so post,1,1,82.40055556,82.40055556,1686
P152,0,so post,1,0,16.04055556,,238
P153,0,so post,1,1,77.34555556,77.34555556,1671
P154,0,so post,1,0,189.2841667,,809
P155,0,so post,1,0,1097.3325,,993
P156,0,so post,1,1,1.8775,1.8775,603
P157,0,so post,0,0,,,2051
P158,0,so post,1,1,5.187777778,18.73305556,1675
P159,0,so post,1,1,7.985555556,7.985555556,235
P160,0,so post,1,1,0.346666667,0.346666667,1756
P161,0,so post,1,1,0.802777778,0.802777778,1980
P162,0,so post,1,1,1.625277778,1.625277778,2426
P163,0,so post,1,0,10.07583333,,181
P164,0,so post,1,0,27.99361111,,1255
P165,0,so post,1,0,8.661666667,,1458
P166,0,so post,1,0,337.3938889,,2429
P167,0,so post,1,1,7.701944444,11164.90889,184
P168,0,so post,1,1,157.2730556,157.2730556,1321
P169,0,so post,1,0,1004.007778,,1322
P170,0,so post,1,1,0.127777778,0.127777778,911
P171,0,so post,1,0,45.13444444,,561
P172,0,so post,1,1,9224.228611,12556.8775,767
P173,0,so post,1,1,2.1675,2.1675,1850
P174,0,so post,1,1,3102.0275,5093.963056,382
P175,0,so post,1,1,20.95777778,20.95777778,3501
P176,0,so post,1,1,0,0,1532
P177,0,so post,1,0,673.4838889,,288
P178,0,so post,1,1,5.751666667,5.751666667,3027
P179,0,so post,1,1,3300.19,3300.19,1293
P180,0,so post,1,1,13.69944444,13.69944444,2299
P181,0,so post,1,1,3.142222222,5537.029167,1035
P182,0,so post,1,0,34.83805556,,1068
P183,0,so post,1,1,8.608611111,8.608611111,4431
P184,0,so post,1,1,26.80666667,26.80666667,1430
