id,is_new,type,view,favorite,score,ans_count
P1,0,so post,14248,11,29,2
P2,0,so post,1773,1,3,2
P3,0,so post,695,0,0,1
P4,0,so post,257,0,1,1
P5,0,so post,41444,9,49,6
P6,0,so post,8441,1,16,3
P7,0,so post,6948,0,8,1
P8,0,so post,52475,20,80,6
P9,0,so post,57698,7,54,3
P10,0,so post,76,0,1,2
P11,0,so post,629,0,4,2
P12,0,so post,1560,1,5,2
P13,0,so post,34962,7,52,5
P14,0,so post,2224,2,7,2
P15,0,so post,88855,11,111,1
P16,0,so post,51109,11,63,3
P17,0,so post,528,0,1,0
P18,0,so post,70282,25,171,5
P19,0,so post,6737,8,12,1
P20,0,so post,1969,0,4,1
P21,0,so post,4913,1,9,2
P22,0,so post,513,0,2,1
P23,0,so post,1029,1,5,1
P24,0,so post,71869,15,97,2
P25,0,so post,861,1,2,1
P26,0,so post,1722,1,2,1
P27,0,so post,674,1,1,2
P28,0,so post,16544,5,25,4
P29,0,so post,34651,13,63,7
P30,0,so post,788,1,4,1
P31,0,so post,1860,1,5,1
P32,0,so post,2884,2,18,1
P33,0,so post,13857,4,18,4
P34,0,so post,3608,2,9,1
P35,0,so post,1440,0,0,1
P36,0,so post,11173,4,22,7
P37,0,so post,60938,17,108,2
P38,0,so post,10182,6,18,5
P39,0,so post,1280,0,2,1
P40,0,so post,12756,3,33,5
P41,0,so post,226,1,2,1
P42,0,so post,6988,3,12,1
P43,0,so post,4324,1,6,1
P44,0,so post,79,2,2,0
P45,0,so post,30912,8,72,2
P46,0,so post,3965,1,11,4
P47,0,so post,6451,0,11,1
P48,0,so post,223,0,1,1
P49,0,so post,51666,18,74,2
P50,0,so post,1250,1,1,2
P51,0,so post,3486,1,2,4
P52,0,so post,49629,5,33,2
P53,0,so post,1589,3,4,1
P54,0,so post,2040,0,1,1
P55,0,so post,3018,0,2,2
P56,0,so post,49659,4,49,5
P57,0,so post,2602,3,2,1
P58,0,so post,3366,0,4,1
P59,0,so post,10013,3,17,2
P60,0,so post,1020,0,0,1
P61,0,so post,21312,11,45,7
P62,0,so post,49681,8,73,3
P63,0,so post,1398,0,0,1
P64,0,so post,10713,0,1,1
P65,0,so post,28844,9,54,3
P66,0,so post,490,2,7,2
P67,0,so post,68617,22,86,6
P68,0,so post,55992,25,148,32
P69,0,so post,22331,22,108,2
P70,0,so post,2402,0,10,1
P71,0,so post,4070,1,17,1
P72,0,so post,135334,30,208,3
P73,0,so post,977,0,5,1
P74,0,so post,87017,15,263,2
P75,0,so post,6403,0,9,2
P76,0,so post,5736,3,15,2
P77,0,so post,942,0,1,1
P78,0,so post,2150,2,7,2
P79,0,so post,3938,0,5,1
P80,0,so post,708,1,8,1
P81,0,so post,263034,56,304,31
P82,0,so post,3180,1,4,3
P83,0,so post,12199,0,8,1
P84,0,so post,515,0,1,1
P85,0,so post,499,1,3,2
P86,0,so post,809,0,4,0
P87,0,so post,10752,2,16,5
P88,0,so post,6701,3,19,7
P89,0,so post,144,0,1,1
P90,0,so post,24785,6,42,5
P91,0,so post,514,0,2,2
P92,0,so post,188510,22,249,3
P93,0,so post,140162,37,223,12
P94,0,so post,73728,22,116,7
P95,0,so post,655,0,2,3
P96,0,so post,6304,1,15,2
P97,0,so post,1005,1,10,2
P98,0,so post,11226,2,19,2
P99,0,so post,4810,2,11,1
P100,0,so post,9743,1,3,2
P101,0,so post,17763,3,12,5
P102,0,so post,17428,2,17,4
P103,0,so post,5786,2,4,2
P104,0,so post,3895,1,11,1
P105,0,so post,344,0,2,1
P106,0,so post,1623,0,3,2
P107,0,so post,808,1,2,0
P108,0,so post,9298,3,25,3
P109,0,so post,2946,2,4,1
P110,0,so post,132,0,1,0
P111,0,so post,763,0,4,1
P112,0,so post,5806,4,2,1
P113,0,so post,161,0,0,1
P114,0,so post,600,0,1,1
P115,0,so post,351,0,1,1
P116,0,so post,414,0,1,1
P117,0,so post,2244,1,3,1
P118,0,so post,5110,4,4,1
P119,0,so post,14467,1,6,1
P120,0,so post,1971,0,0,2
P121,0,so post,4170,0,8,4
P122,0,so post,878,0,1,2
P123,0,so post,3632,1,4,1
